Year,Month,MonthlyAnomaly,AnnualAnomaly,FiveYearAnomaly
2012,1,0.58,0.929,0.965
2012,2,0.395,0.898,0.969
2012,3,0.695,0.905,0.967
2012,4,1.325,0.905,0.971
2012,5,1.258,0.931,0.966
2012,6,1.012,0.881,0.975
2012,7,0.766,0.927,0.978
2012,8,0.87,0.976,0.982
2012,9,0.972,0.994,0.982
2012,10,1.211,0.943,0.976
2012,11,1.064,0.911,0.974
2012,12,0.447,0.918,0.976
2013,1,1.13,0.909,0.974
2013,2,0.981,0.916,0.974
2013,3,0.909,0.93,0.975
2013,4,0.709,0.918,0.981
2013,5,0.876,0.942,0.98
2013,6,1.092,0.996,1.0
2013,7,0.67,1.0,1.015
2013,8,0.948,0.944,1.042
2013,9,1.143,0.955,1.066
2013,10,1.069,1.002,1.077
2013,11,1.353,1.03,1.087
2013,12,1.089,1.008,1.087
2014,1,1.179,0.999,1.083
2014,2,0.305,1.008,1.086
2014,3,1.05,1.002,1.091
2014,4,1.265,1.01,1.088
2014,5,1.212,0.955,1.094
2014,6,0.831,0.97,1.099
2014,7,0.557,0.982,1.116
2014,8,1.062,1.077,1.138
2014,9,1.064,1.109,1.158
2014,10,1.174,1.087,1.157
2014,11,0.687,1.07,1.158
2014,12,1.266,1.088,1.154
2015,1,1.326,1.103,1.158
2015,2,1.448,1.093,1.161
2015,3,1.43,1.084,1.161
2015,4,0.999,1.118,1.164
2015,5,1.015,1.176,1.164
2015,6,1.046,1.227,1.182
2015,7,0.74,1.254,1.183
2015,8,0.94,1.315,1.185
2015,9,0.948,1.378,1.193
2015,10,1.589,1.446,1.203
2015,11,1.382,1.468,1.207
2015,12,1.872,1.455,1.206
2016,1,1.653,1.473,1.213
2016,2,2.181,1.515,1.214
2016,3,2.186,1.532,1.209
2016,4,1.811,1.488,1.215
2016,5,1.287,1.468,1.207
2016,6,0.89,1.421,1.21
2016,7,0.948,1.417,1.214
2016,8,1.454,1.38,1.229
2016,9,1.153,1.352,1.242
2016,10,1.058,1.31,1.246
2016,11,1.138,1.309,1.243
2016,12,1.315,1.3,1.246
2017,1,1.602,1.304,1.256
2017,2,1.741,1.272,1.257
2017,3,1.845,1.259,1.259
2017,4,1.304,1.284,1.265
2017,5,1.279,1.279,1.274
2017,6,0.782,1.297,1.283
2017,7,0.996,1.263,1.295
2017,8,1.07,1.21,1.305
2017,9,0.998,1.171,1.311
2017,10,1.353,1.174,1.322
2017,11,1.085,1.158,1.327
2017,12,1.53,1.176,1.329
2018,1,1.194,1.187,1.336
2018,2,1.097,1.18,1.339
2018,3,1.38,1.17,1.348
2018,4,1.337,1.176,1.342
2018,5,1.091,1.155,1.348
2018,6,1.001,1.134,1.336
2018,7,1.125,1.154,1.329
2018,8,0.982,1.164,1.306
2018,9,0.877,1.2,1.293
2018,10,1.429,1.216,1.281
2018,11,0.837,1.21,1.277
2018,12,1.271,1.212,1.282
2019,1,1.434,1.213,1.288
2019,2,1.223,1.223,1.283
2019,3,1.81,1.251,1.286
2019,4,1.532,1.26,1.295
2019,5,1.011,1.293,1.298
2019,6,1.033,1.334,1.299
2019,7,1.138,1.385,1.295
2019,8,1.094,1.457,1.286
2019,9,1.212,1.453,1.281
2019,10,1.543,1.466,1.282
2019,11,1.226,1.489,1.278
2019,12,1.773,1.503,1.286
2020,1,2.036,1.505,1.291
2020,2,2.098,1.506,1.294
2020,3,1.759,1.526,
2020,4,1.679,1.503,
2020,5,1.298,1.543,
2020,6,1.196,1.492,
2020,7,1.158,1.428,
2020,8,1.113,1.317,
2020,9,1.445,1.286,
2020,10,1.266,1.24,
2020,11,1.707,1.221,
2020,12,1.167,1.217,
2021,1,1.264,1.23,
2021,2,0.763,1.237,
2021,3,1.396,1.224,
2021,4,1.128,1.251,
2021,5,1.064,1.219,
2021,6,1.146,1.235,
2021,7,1.311,1.247,
2021,8,1.198,1.281,
2021,9,1.288,1.292,
2021,10,1.596,1.312,
2021,11,1.324,1.31,
2021,12,1.362,1.323,
